course_number,launch_month,launch_day,course_title,instructors,course_subject,year,honor_code_certificates,participants,audited,certified,percent_played_video,percent_posted_forum,percent_grade_higher_than_zero,total_course_hours_per_1000,median_hours_for_certification,median_age,percent_male,percent_female,percent_bachelor_degree_or_higher,2012,2013,2014,2015,2016
8.421.4x,12,14,Atomic and Optical Physics: Atom-Light Interactions 2: Line Broadening and Two-Photon Transitions,"Wolfgang Ketterle, David E. Pritchard, Isaac Chuang","Science, Technology, Engineering, and Mathematics",4,1,658,221,48,47.57,5.93,18.54,3.88,42.5,26,85.01,14.99,71.48,NA,NA,NA,MITx,NA
PH525.3x,12,15,Data Analysis for Genomics: Statistical Inference and Modeling for High-throughput Experiments,Rafael Irizarry,"Government, Health, and Social Science",4,1,2379,1192,277,47.88,3.15,11.64,8.89,16.68,29,70.28,29.72,85.62,NA,NA,NA,HarvardX,NA
CS50x,1,1,Introduction to Computer Science (2016),NA,Computer Science,4,1,168335,10245,417,69.02,0,0,708.69,0,23,77.44,22.56,49.51,NA,NA,NA,NA,HarvardX
6.302.0x,1,4,Introduction to Feedback Control Theory,"Jacob White, Joe Steinmeyer","Science, Technology, Engineering, and Mathematics",4,1,8377,3783,127,12.25,2.6,7.09,21.3,42.73,25,92.54,7.46,64.22,NA,NA,NA,NA,MITx
HLS2x,1,7,Contracts Law: From Trust to Promise to Contract,Charles Fried,"Government, Health, and Social Science",4,1,13798,3365,2231,59.13,24.03,38.35,97.71,28.01,29,60.16,39.84,75.91,NA,NA,NA,NA,HarvardX
8.MECHCx,1,7,Advanced Introductory Classical Mechanics,"David E. Pritchard, Chris Chudzicki, Zhongzhou Chen","Science, Technology, Engineering, and Mathematics",4,1,5747,303,101,54.76,4.07,8.77,53.1,200.43,23,84.11,15.89,49.44,NA,NA,NA,NA,MITx
6.00.1x,1,13,Introduction to Computer Science and Programming Using Python,"Eric Grimson, John Guttag, Ana Bell",Computer Science,4,1,63658,8805,3744,51.8,7.19,36.31,248.96,17.62,26,81.23,18.77,61.74,NA,NA,NA,NA,MITx
PH525.4x,1,15,Data Analysis for Genomics: Introduction to High-Dimensional Data Analysis,Rafael Irizarry,"Government, Health, and Social Science",4,1,2321,1080,193,47.78,2.24,8.32,8.21,16.76,29,72.57,27.43,87.18,NA,NA,NA,NA,HarvardX
8.421.5x,1,15,Atomic and Optical Physics: Coherence,"Wolfgang Ketterle, David E. Pritchard, Isaac Chuang","Science, Technology, Engineering, and Mathematics",4,1,639,206,26,46.32,3.6,14.71,2.6,37.45,27,85.6,14.4,74.21,NA,NA,NA,NA,MITx
PH556x,1,20,Practical Improvement Science in Health Care: A Roadmap for Getting Results,"Don Goldmann, Dave Williams, Don Berwick","Government, Health, and Social Science",4,1,6792,2767,903,57.14,35.28,44.38,19.79,9.39,40,37.24,62.76,91.03,NA,NA,NA,NA,HarvardX
MUS24x,1,21,First Nights: Beethoven's 9th Symphony,Tom Kelly,"Humanities, History, Design, Religion, and Education",4,1,4237,2302,587,79.75,5.15,25.96,19.23,11.85,31,59.95,40.05,68.39,NA,NA,NA,NA,HarvardX
PH231x,1,25,Readings in Global Health,David Hunter,"Government, Health, and Social Science",4,1,5309,1094,419,64.23,6.33,28.12,29.9,37.04,31,44.81,55.19,83.58,NA,NA,NA,NA,HarvardX
LAUNCH.x,1,25,Becoming an Entrepreneur,Laurie Stach,"Government, Health, and Social Science",4,0,18183,3805,239,70.58,15.71,38.4,45.76,16.21,27,76.21,23.79,67.37,NA,NA,NA,NA,MITx
3.054.1x,1,27,"Cellular Solids: Structures, Properties and Engineering Applications",Lorna J. Gibson,"Science, Technology, Engineering, and Mathematics",4,1,2456,403,99,55.82,4.11,10.34,16.98,73.52,26,79.53,20.47,72.65,NA,NA,NA,NA,MITx
