artist_name,artist_uri,album_uri,album_name,album_img,album_type,is_collaboration,album_release_date,album_release_year,album_popularity,track_name,track_uri,track_number,disc_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode,track_popularity,track_preview_url,track_open_spotify_url,year
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,1vANZV20H5B4Fk6yf7Ot9a,Beatles For Sale,https://i.scdn.co/image/7302b5d078763a9622ee25375d1643faf4737e64,album,FALSE,1964-12-04,1964-12-04,62,Mr Moonlight - Remastered 2009,6pPOkr2OxhQ6htrzOiDmq9,6,1,0.631,0.424,F#,-9.106,major,0.0438,0.796,1.43e-4,0.118,0.589,126.127,158627,5,F# major,45,NA,https://open.spotify.com/track/6pPOkr2OxhQ6htrzOiDmq9,1964
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,1vANZV20H5B4Fk6yf7Ot9a,Beatles For Sale,https://i.scdn.co/image/7302b5d078763a9622ee25375d1643faf4737e64,album,FALSE,1964-12-04,1964-12-04,62,Kansas City / Hey-Hey-Hey-Hey - Medley / Remastered 2009,5xf0zdP4KCfshyVn02D3Ea,7,1,0.588,0.724,G,-6.63,major,0.0335,0.614,8.92e-5,0.877,0.924,131.36,158147,4,G major,45,NA,https://open.spotify.com/track/5xf0zdP4KCfshyVn02D3Ea,1964
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,1vANZV20H5B4Fk6yf7Ot9a,Beatles For Sale,https://i.scdn.co/image/7302b5d078763a9622ee25375d1643faf4737e64,album,FALSE,1964-12-04,1964-12-04,62,Eight Days A Week - Remastered 2009,1Dg4dFJr3HW7sbA7vPejre,8,1,0.652,0.583,A,-7.811,major,0.038,0.412,0,0.119,0.744,138.134,163600,4,A major,63,NA,https://open.spotify.com/track/1Dg4dFJr3HW7sbA7vPejre,1964
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,1vANZV20H5B4Fk6yf7Ot9a,Beatles For Sale,https://i.scdn.co/image/7302b5d078763a9622ee25375d1643faf4737e64,album,FALSE,1964-12-04,1964-12-04,62,Words Of Love - Remastered 2009,42qkSeX6HNJYHxlk6cWoFe,9,1,0.551,0.533,A,-9.8,major,0.0297,0.323,0.722,0.173,0.85,122.358,124320,4,A major,48,NA,https://open.spotify.com/track/42qkSeX6HNJYHxlk6cWoFe,1964
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,1vANZV20H5B4Fk6yf7Ot9a,Beatles For Sale,https://i.scdn.co/image/7302b5d078763a9622ee25375d1643faf4737e64,album,FALSE,1964-12-04,1964-12-04,62,Honey Don't - Remastered 2009,2d7GP7Fz1NrfPpo7MzWZgb,10,1,0.629,0.545,E,-11.466,major,0.0348,0.473,5.08e-5,0.0854,0.735,162.438,177427,4,E major,44,NA,https://open.spotify.com/track/2d7GP7Fz1NrfPpo7MzWZgb,1964
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,1vANZV20H5B4Fk6yf7Ot9a,Beatles For Sale,https://i.scdn.co/image/7302b5d078763a9622ee25375d1643faf4737e64,album,FALSE,1964-12-04,1964-12-04,62,Every Little Thing - Remastered 2009,2CxTkdvhDuQrOxl8xXkdJS,11,1,0.74,0.49,D,-9.095,major,0.038,0.488,0,0.103,0.678,123.227,123800,4,D major,45,NA,https://open.spotify.com/track/2CxTkdvhDuQrOxl8xXkdJS,1964
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,1vANZV20H5B4Fk6yf7Ot9a,Beatles For Sale,https://i.scdn.co/image/7302b5d078763a9622ee25375d1643faf4737e64,album,FALSE,1964-12-04,1964-12-04,62,I Don't Want To Spoil The Party - Remastered 2009,3kQDIa85ZK8cKVn72NfBnl,12,1,0.533,0.668,G,-7.237,major,0.033,0.451,0,0.149,0.889,95.438,154467,4,G major,44,NA,https://open.spotify.com/track/3kQDIa85ZK8cKVn72NfBnl,1964
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,1vANZV20H5B4Fk6yf7Ot9a,Beatles For Sale,https://i.scdn.co/image/7302b5d078763a9622ee25375d1643faf4737e64,album,FALSE,1964-12-04,1964-12-04,62,What You're Doing - Remastered 2009,6C6y4OWK1Ki3FVF1TIonxW,13,1,0.695,0.53,D,-8.309,major,0.0403,0.301,2e-6,0.0583,0.825,129.506,150040,4,D major,45,NA,https://open.spotify.com/track/6C6y4OWK1Ki3FVF1TIonxW,1964
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,1vANZV20H5B4Fk6yf7Ot9a,Beatles For Sale,https://i.scdn.co/image/7302b5d078763a9622ee25375d1643faf4737e64,album,FALSE,1964-12-04,1964-12-04,62,Everybody's Trying To Be My Baby - Remastered 2009,4DZAH8eiqSAkMIE9l5D71U,14,1,0.543,0.806,E,-7.231,major,0.0385,0.466,0,0.134,0.943,85.172,146e3,4,E major,45,NA,https://open.spotify.com/track/4DZAH8eiqSAkMIE9l5D71U,1964
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,0PT5m6hwPRrpBwIHVnvbFX,Help!,https://i.scdn.co/image/100f7cc6ac8521ac70329e29bc8ccd8503e2bc8b,album,FALSE,1965-08-06,1965-08-06,72,Help! - Remastered 2009,7DD7eSuYSC5xk2ArU62esN,1,1,0.534,0.725,F#,-7.576,minor,0.0332,0.188,0,0.0994,0.763,95.003,139560,4,F# minor,68,NA,https://open.spotify.com/track/7DD7eSuYSC5xk2ArU62esN,1965
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,0PT5m6hwPRrpBwIHVnvbFX,Help!,https://i.scdn.co/image/100f7cc6ac8521ac70329e29bc8ccd8503e2bc8b,album,FALSE,1965-08-06,1965-08-06,72,The Night Before - Remastered 2009,5xcfepnz1v7a83T8An9gjw,2,1,0.461,0.762,D,-6.727,major,0.0379,0.0537,0,0.238,0.632,84.496,154933,4,D major,57,NA,https://open.spotify.com/track/5xcfepnz1v7a83T8An9gjw,1965
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,0PT5m6hwPRrpBwIHVnvbFX,Help!,https://i.scdn.co/image/100f7cc6ac8521ac70329e29bc8ccd8503e2bc8b,album,FALSE,1965-08-06,1965-08-06,72,You've Got To Hide Your Love Away - Remastered 2009,4F1AgKpuFRMLEgtPETVwZk,3,1,0.398,0.392,G,-9.05,major,0.0282,0.207,0,0.102,0.378,184.267,129120,3,G major,62,NA,https://open.spotify.com/track/4F1AgKpuFRMLEgtPETVwZk,1965
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,0PT5m6hwPRrpBwIHVnvbFX,Help!,https://i.scdn.co/image/100f7cc6ac8521ac70329e29bc8ccd8503e2bc8b,album,FALSE,1965-08-06,1965-08-06,72,I Need You - Remastered 2009,5EzvwjFwdP5Kfl5AZAemzu,4,1,0.601,0.489,A,-8.554,major,0.0455,0.277,0,0.0988,0.638,136.215,148787,4,A major,53,NA,https://open.spotify.com/track/5EzvwjFwdP5Kfl5AZAemzu,1965
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,0PT5m6hwPRrpBwIHVnvbFX,Help!,https://i.scdn.co/image/100f7cc6ac8521ac70329e29bc8ccd8503e2bc8b,album,FALSE,1965-08-06,1965-08-06,72,Another Girl - Remastered 2009,7hefVXaGsFPesbK6fKwS6F,5,1,0.516,0.638,A,-7.453,major,0.0314,0.238,0,0.333,0.822,88.657,125360,4,A major,49,NA,https://open.spotify.com/track/7hefVXaGsFPesbK6fKwS6F,1965
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,0PT5m6hwPRrpBwIHVnvbFX,Help!,https://i.scdn.co/image/100f7cc6ac8521ac70329e29bc8ccd8503e2bc8b,album,FALSE,1965-08-06,1965-08-06,72,You're Going To Lose That Girl - Remastered 2009,70HNt0eoBVqr4ss68U8x3B,6,1,0.533,0.66,E,-7.694,major,0.0337,0.346,0,0.26,0.818,131.975,138667,4,E major,60,NA,https://open.spotify.com/track/70HNt0eoBVqr4ss68U8x3B,1965
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,0PT5m6hwPRrpBwIHVnvbFX,Help!,https://i.scdn.co/image/100f7cc6ac8521ac70329e29bc8ccd8503e2bc8b,album,FALSE,1965-08-06,1965-08-06,72,Ticket To Ride - Remastered 2009,7CZiDzGVjUssMSOXrDNYHL,7,1,0.519,0.85,A,-6.777,major,0.0678,0.0457,0,0.233,0.749,123.419,189680,4,A major,65,NA,https://open.spotify.com/track/7CZiDzGVjUssMSOXrDNYHL,1965
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,0PT5m6hwPRrpBwIHVnvbFX,Help!,https://i.scdn.co/image/100f7cc6ac8521ac70329e29bc8ccd8503e2bc8b,album,FALSE,1965-08-06,1965-08-06,72,Act Naturally - Remastered 2009,0IxxqsYBcCHEQ1HqLYJnwx,8,1,0.702,0.447,G,-10.122,major,0.0308,0.366,0,0.153,0.944,93.02,150373,4,G major,48,NA,https://open.spotify.com/track/0IxxqsYBcCHEQ1HqLYJnwx,1965
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,0PT5m6hwPRrpBwIHVnvbFX,Help!,https://i.scdn.co/image/100f7cc6ac8521ac70329e29bc8ccd8503e2bc8b,album,FALSE,1965-08-06,1965-08-06,72,It's Only Love - Remastered 2009,2ue1KRstSKHF8jQkIJZiNC,9,1,0.629,0.551,C,-8.281,major,0.0256,0.22,0,0.0432,0.685,113.155,116480,3,C major,51,NA,https://open.spotify.com/track/2ue1KRstSKHF8jQkIJZiNC,1965
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,0PT5m6hwPRrpBwIHVnvbFX,Help!,https://i.scdn.co/image/100f7cc6ac8521ac70329e29bc8ccd8503e2bc8b,album,FALSE,1965-08-06,1965-08-06,72,You Like Me Too Much - Remastered 2009,0y1LLH0NiwOD5tM3aNMXTr,10,1,0.555,0.57,G,-7.869,major,0.0302,0.415,0,0.191,0.899,88.316,156867,4,G major,47,NA,https://open.spotify.com/track/0y1LLH0NiwOD5tM3aNMXTr,1965
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,0PT5m6hwPRrpBwIHVnvbFX,Help!,https://i.scdn.co/image/100f7cc6ac8521ac70329e29bc8ccd8503e2bc8b,album,FALSE,1965-08-06,1965-08-06,72,Tell Me What You See - Remastered 2009,2jnr9KaaMAmvk0zMcM9UzV,11,1,0.592,0.796,G,-8.125,major,0.0429,0.061,0,0.131,0.7,136.675,157987,4,G major,47,NA,https://open.spotify.com/track/2jnr9KaaMAmvk0zMcM9UzV,1965
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,0PT5m6hwPRrpBwIHVnvbFX,Help!,https://i.scdn.co/image/100f7cc6ac8521ac70329e29bc8ccd8503e2bc8b,album,FALSE,1965-08-06,1965-08-06,72,I've Just Seen A Face - Remastered 2009,788U1Sqej9M6c4iikuDGxO,12,1,0.647,0.56,A,-8.809,major,0.0387,0.723,0,0.118,0.913,120.418,125040,3,A major,61,NA,https://open.spotify.com/track/788U1Sqej9M6c4iikuDGxO,1965
